Datum;Wotag;Stunde;KFZ_R1;KFZ_R2;KFZ_Gesamt
26.03.2023;7;18;205;189;394
26.03.2023;7;19;141;130;271
26.03.2023;7;20;93;86;179
26.03.2023;7;21;71;66;137
26.03.2023;7;22;51;48;99
26.03.2023;7;23;44;41;85
27.03.2023;1;0;66;60;126
27.03.2023;1;1;34;32;66
27.03.2023;1;2;23;21;44
27.03.2023;1;3;16;15;31
27.03.2023;1;4;23;22;45
27.03.2023;1;5;60;55;115
27.03.2023;1;6;173;159;332
27.03.2023;1;7;321;297;618
27.03.2023;1;8;294;271;565
27.03.2023;1;9;217;200;417
27.03.2023;1;10;217;200;417
27.03.2023;1;11;216;199;415
27.03.2023;1;12;265;245;510
27.03.2023;1;13;263;242;505
27.03.2023;1;14;234;216;450
27.03.2023;1;15;280;258;538
27.03.2023;1;16;326;301;627
27.03.2023;1;17;365;337;702
27.03.2023;1;18;304;281;585
27.03.2023;1;19;198;182;380
27.03.2023;1;20;136;125;261
27.03.2023;1;21;113;105;218
27.03.2023;1;22;85;78;163
27.03.2023;1;23;68;63;131
28.03.2023;2;0;62;57;119
28.03.2023;2;1;33;31;64
28.03.2023;2;2;22;20;42
28.03.2023;2;3;17;15;32
28.03.2023;2;4;26;24;50
28.03.2023;2;5;62;57;119
28.03.2023;2;6;164;152;316
28.03.2023;2;7;291;269;560
28.03.2023;2;8;264;243;507
28.03.2023;2;9;227;209;436
28.03.2023;2;10;210;193;403
28.03.2023;2;11;215;199;414
28.03.2023;2;12;250;231;481
28.03.2023;2;13;230;213;443
28.03.2023;2;14;205;189;394
28.03.2023;2;15;259;240;499
28.03.2023;2;16;341;315;656
28.03.2023;2;17;409;377;786
28.03.2023;2;18;295;273;568
28.03.2023;2;19;211;194;405
28.03.2023;2;20;154;142;296
28.03.2023;2;21;109;100;209
28.03.2023;2;22;83;77;160
28.03.2023;2;23;66;60;126
29.03.2023;3;0;61;56;117
29.03.2023;3;1;34;32;66
29.03.2023;3;2;21;20;41
29.03.2023;3;3;17;16;33
29.03.2023;3;4;25;24;49
29.03.2023;3;5;65;60;125
29.03.2023;3;6;168;155;323
29.03.2023;3;7;326;300;626
29.03.2023;3;8;305;282;587
29.03.2023;3;9;220;204;424
29.03.2023;3;10;190;176;366
29.03.2023;3;11;248;228;476
29.03.2023;3;12;254;234;488
29.03.2023;3;13;210;194;404
29.03.2023;3;14;222;204;426
29.03.2023;3;15;282;261;543
29.03.2023;3;16;330;304;634
29.03.2023;3;17;391;361;752
29.03.2023;3;18;335;310;645
29.03.2023;3;19;198;183;381
29.03.2023;3;20;140;130;270
29.03.2023;3;21;106;97;203
29.03.2023;3;22;85;79;164
29.03.2023;3;23;69;63;132
30.03.2023;4;0;66;60;126
30.03.2023;4;1;34;31;65
30.03.2023;4;2;21;20;41
30.03.2023;4;3;17;15;32
30.03.2023;4;4;25;23;48
30.03.2023;4;5;63;58;121
30.03.2023;4;6;169;156;325
30.03.2023;4;7;326;300;626
30.03.2023;4;8;301;277;578
30.03.2023;4;9;230;213;443
30.03.2023;4;10;201;185;386
30.03.2023;4;11;231;213;444
30.03.2023;4;12;251;231;482
30.03.2023;4;13;232;214;446
30.03.2023;4;14;255;236;491
30.03.2023;4;15;265;244;509
30.03.2023;4;16;342;315;657
30.03.2023;4;17;423;390;813
30.03.2023;4;18;315;291;606
30.03.2023;4;19;233;216;449
30.03.2023;4;20;144;132;276
30.03.2023;4;21;106;98;204
30.03.2023;4;22;80;74;154
30.03.2023;4;23;66;60;126
31.03.2023;5;0;63;59;122
31.03.2023;5;1;35;32;67
31.03.2023;5;2;21;20;41
31.03.2023;5;3;18;16;34
31.03.2023;5;4;25;23;48
31.03.2023;5;5;62;57;119
31.03.2023;5;6;190;175;365
31.03.2023;5;7;320;295;615
31.03.2023;5;8;282;260;542
31.03.2023;5;9;222;205;427
31.03.2023;5;10;199;184;383
31.03.2023;5;11;241;222;463
31.03.2023;5;12;246;227;473
31.03.2023;5;13;231;214;445
31.03.2023;5;14;229;212;441
31.03.2023;5;15;282;260;542
31.03.2023;5;16;320;296;616
31.03.2023;5;17;380;350;730
31.03.2023;5;18;317;293;610
31.03.2023;5;19;215;199;414
31.03.2023;5;20;149;137;286
31.03.2023;5;21;100;93;193
31.03.2023;5;22;86;80;166
31.03.2023;5;23;64;60;124
01.04.2023;6;0;52;48;100
01.04.2023;6;1;27;25;52
01.04.2023;6;2;19;17;36
01.04.2023;6;3;15;13;28
01.04.2023;6;4;22;20;42
01.04.2023;6;5;57;52;109
01.04.2023;6;6;162;150;312
01.04.2023;6;7;244;225;469
01.04.2023;6;8;240;221;461
01.04.2023;6;9;189;175;364
01.04.2023;6;10;170;157;327
01.04.2023;6;11;185;170;355
01.04.2023;6;12;210;194;404
01.04.2023;6;13;184;169;353
01.04.2023;6;14;199;183;382
01.04.2023;6;15;231;214;445
01.04.2023;6;16;291;269;560
01.04.2023;6;17;349;323;672
01.04.2023;6;18;275;253;528
01.04.2023;6;19;174;161;335
01.04.2023;6;20;137;127;264
01.04.2023;6;21;90;83;173
01.04.2023;6;22;64;60;124
01.04.2023;6;23;54;50;104
02.04.2023;7;0;37;35;72
02.04.2023;7;1;22;20;42
02.04.2023;7;2;14;12;26
02.04.2023;7;3;10;10;20
02.04.2023;7;4;18;16;34
02.04.2023;7;5;42;39;81
02.04.2023;7;6;113;104;217
02.04.2023;7;7;194;180;374
02.04.2023;7;8;180;167;347
02.04.2023;7;9;150;138;288
02.04.2023;7;10;137;126;263
02.04.2023;7;11;136;125;261
02.04.2023;7;12;162;149;311
02.04.2023;7;13;150;138;288
02.04.2023;7;14;148;136;284
02.04.2023;7;15;170;156;326
02.04.2023;7;16;212;195;407
02.04.2023;7;17;258;239;497
02.04.2023;7;18;205;189;394
02.04.2023;7;19;140;129;269
02.04.2023;7;20;100;93;193
02.04.2023;7;21;67;62;129
02.04.2023;7;22;53;49;102
02.04.2023;7;23;44;41;85
03.04.2023;1;0;64;60;124
03.04.2023;1;1;33;30;63
03.04.2023;1;2;22;20;42
03.04.2023;1;3;18;16;34
03.04.2023;1;4;27;24;51
03.04.2023;1;5;68;63;131
03.04.2023;1;6;160;148;308
03.04.2023;1;7;314;289;603
03.04.2023;1;8;293;270;563
03.04.2023;1;9;229;211;440
03.04.2023;1;10;202;187;389
03.04.2023;1;11;213;196;409
03.04.2023;1;12;252;232;484
03.04.2023;1;13;221;204;425
03.04.2023;1;14;231;213;444
03.04.2023;1;15;261;241;502
03.04.2023;1;16;316;292;608
03.04.2023;1;17;406;375;781
03.04.2023;1;18;316;291;607
03.04.2023;1;19;215;198;413
03.04.2023;1;20;162;150;312
03.04.2023;1;21;106;98;204
03.04.2023;1;22;86;79;165
03.04.2023;1;23;63;59;122
04.04.2023;2;0;59;54;113
04.04.2023;2;1;36;33;69
04.04.2023;2;2;20;18;38
04.04.2023;2;3;16;14;30
04.04.2023;2;4;25;23;48
04.04.2023;2;5;62;58;120
04.04.2023;2;6;160;147;307
04.04.2023;2;7;309;285;594
04.04.2023;2;8;310;287;597
04.04.2023;2;9;220;204;424
04.04.2023;2;10;194;180;374
04.04.2023;2;11;241;222;463
04.04.2023;2;12;257;237;494
04.04.2023;2;13;223;205;428
04.04.2023;2;14;212;195;407
04.04.2023;2;15;262;241;503
04.04.2023;2;16;333;308;641
04.04.2023;2;17;425;392;817
04.04.2023;2;18;297;275;572
04.04.2023;2;19;208;192;400
04.04.2023;2;20;151;140;291
04.04.2023;2;21;92;85;177
04.04.2023;2;22;88;81;169
04.04.2023;2;23;63;58;121
05.04.2023;3;0;64;59;123
05.04.2023;3;1;34;31;65
05.04.2023;3;2;22;20;42
05.04.2023;3;3;17;16;33
05.04.2023;3;4;22;20;42
05.04.2023;3;5;60;56;116
05.04.2023;3;6;168;156;324
05.04.2023;3;7;310;287;597
05.04.2023;3;8;300;276;576
05.04.2023;3;9;239;220;459
05.04.2023;3;10;215;199;414
05.04.2023;3;11;227;210;437
05.04.2023;3;12;228;210;438
05.04.2023;3;13;225;207;432
05.04.2023;3;14;235;216;451
05.04.2023;3;15;257;237;494
05.04.2023;3;16;345;318;663
05.04.2023;3;17;420;387;807
05.04.2023;3;18;316;291;607
05.04.2023;3;19;177;163;340
05.04.2023;3;20;137;126;263
05.04.2023;3;21;114;106;220
05.04.2023;3;22;81;75;156
05.04.2023;3;23;60;56;116
06.04.2023;4;0;67;61;128
06.04.2023;4;1;33;31;64
06.04.2023;4;2;22;20;42
06.04.2023;4;3;17;16;33
06.04.2023;4;4;25;24;49
06.04.2023;4;5;64;59;123
06.04.2023;4;6;173;160;333
06.04.2023;4;7;349;322;671
06.04.2023;4;8;307;283;590
06.04.2023;4;9;212;195;407
06.04.2023;4;10;214;197;411
06.04.2023;4;11;243;224;467
06.04.2023;4;12;266;245;511
06.04.2023;4;13;225;208;433
06.04.2023;4;14;243;225;468
06.04.2023;4;15;284;263;547
06.04.2023;4;16;378;348;726
06.04.2023;4;17;386;357;743
06.04.2023;4;18;305;282;587
06.04.2023;4;19;206;190;396
06.04.2023;4;20;142;132;274
06.04.2023;4;21;100;92;192
06.04.2023;4;22;72;67;139
06.04.2023;4;23;66;60;126
07.04.2023;5;0;64;59;123
07.04.2023;5;1;33;30;63
07.04.2023;5;2;23;21;44
07.04.2023;5;3;17;15;32
07.04.2023;5;4;27;24;51
07.04.2023;5;5;63;59;122
07.04.2023;5;6;174;161;335
07.04.2023;5;7;318;293;611
07.04.2023;5;8;313;288;601
07.04.2023;5;9;230;213;443
07.04.2023;5;10;214;198;412
07.04.2023;5;11;234;216;450
07.04.2023;5;12;247;228;475
07.04.2023;5;13;235;216;451
07.04.2023;5;14;255;236;491
07.04.2023;5;15;268;247;515
07.04.2023;5;16;341;315;656
07.04.2023;5;17;426;394;820
07.04.2023;5;18;331;306;637
07.04.2023;5;19;209;193;402
07.04.2023;5;20;129;119;248
07.04.2023;5;21;107;99;206
07.04.2023;5;22;74;69;143
07.04.2023;5;23;72;66;138
08.04.2023;6;0;54;49;103
08.04.2023;6;1;30;27;57
08.04.2023;6;2;17;16;33
08.04.2023;6;3;13;12;25
08.04.2023;6;4;22;20;42
08.04.2023;6;5;53;49;102
08.04.2023;6;6;139;128;267
08.04.2023;6;7;268;247;515
08.04.2023;6;8;283;261;544
08.04.2023;6;9;203;188;391
08.04.2023;6;10;187;172;359
08.04.2023;6;11;204;188;392
08.04.2023;6;12;229;211;440
08.04.2023;6;13;193;179;372
08.04.2023;6;14;175;162;337
08.04.2023;6;15;229;211;440
08.04.2023;6;16;296;273;569
08.04.2023;6;17;324;300;624
08.04.2023;6;18;264;244;508
08.04.2023;6;19;172;158;330
08.04.2023;6;20;134;123;257
08.04.2023;6;21;92;85;177
08.04.2023;6;22;73;68;141
08.04.2023;6;23;59;54;113
09.04.2023;7;0;41;37;78
09.04.2023;7;1;22;20;42
09.04.2023;7;2;13;12;25
09.04.2023;7;3;10;9;19
09.04.2023;7;4;17;15;32
09.04.2023;7;5;42;38;80
09.04.2023;7;6;115;107;222
09.04.2023;7;7;220;203;423
09.04.2023;7;8;205;189;394
09.04.2023;7;9;142;131;273
09.04.2023;7;10;134;123;257
09.04.2023;7;11;153;141;294
09.04.2023;7;12;184;169;353
09.04.2023;7;13;161;148;309
09.04.2023;7;14;158;145;303
09.04.2023;7;15;173;160;333
09.04.2023;7;16;207;192;399
09.04.2023;7;17;271;250;521
09.04.2023;7;18;192;178;370
09.04.2023;7;19;134;124;258
09.04.2023;7;20;95;87;182
09.04.2023;7;21;73;68;141
09.04.2023;7;22;54;49;103
09.04.2023;7;23;38;35;73
10.04.2023;1;0;64;60;124
10.04.2023;1;1;32;30;62
10.04.2023;1;2;21;19;40
10.04.2023;1;3;17;15;32
10.04.2023;1;4;25;23;48
10.04.2023;1;5;65;60;125
10.04.2023;1;6;154;143;297
10.04.2023;1;7;305;282;587
10.04.2023;1;8;303;279;582
10.04.2023;1;9;223;205;428
10.04.2023;1;10;192;178;370
10.04.2023;1;11;238;219;457
10.04.2023;1;12;265;244;509
10.04.2023;1;13;229;212;441
10.04.2023;1;14;207;192;399
10.04.2023;1;15;281;260;541
10.04.2023;1;16;307;283;590
10.04.2023;1;17;407;376;783
10.04.2023;1;18;300;276;576
10.04.2023;1;19;197;182;379
10.04.2023;1;20;143;132;275
10.04.2023;1;21;103;96;199
10.04.2023;1;22;81;75;156
10.04.2023;1;23;69;63;132
11.04.2023;2;0;61;57;118
11.04.2023;2;1;35;32;67
11.04.2023;2;2;21;20;41
11.04.2023;2;3;16;15;31
11.04.2023;2;4;24;22;46
11.04.2023;2;5;58;53;111
11.04.2023;2;6;170;156;326
11.04.2023;2;7;308;284;592
11.04.2023;2;8;258;238;496
11.04.2023;2;9;224;206;430
11.04.2023;2;10;200;184;384
11.04.2023;2;11;248;229;477
11.04.2023;2;12;229;212;441
11.04.2023;2;13;213;197;410
11.04.2023;2;14;243;224;467
11.04.2023;2;15;290;268;558
11.04.2023;2;16;322;297;619
11.04.2023;2;17;388;359;747
11.04.2023;2;18;323;298;621
11.04.2023;2;19;185;170;355
11.04.2023;2;20;133;122;255
11.04.2023;2;21;103;95;198
11.04.2023;2;22;90;83;173
11.04.2023;2;23;66;60;126
12.04.2023;3;0;63;58;121
12.04.2023;3;1;35;33;68
12.04.2023;3;2;23;21;44
12.04.2023;3;3;16;15;31
12.04.2023;3;4;25;23;48
12.04.2023;3;5;69;63;132
12.04.2023;3;6;154;143;297
12.04.2023;3;7;330;304;634
12.04.2023;3;8;278;256;534
12.04.2023;3;9;231;213;444
12.04.2023;3;10;206;191;397
12.04.2023;3;11;219;202;421
12.04.2023;3;12;239;220;459
12.04.2023;3;13;233;215;448
12.04.2023;3;14;241;223;464
12.04.2023;3;15;270;249;519
12.04.2023;3;16;335;310;645
12.04.2023;3;17;413;381;794
12.04.2023;3;18;298;275;573
12.04.2023;3;19;217;200;417
12.04.2023;3;20;152;141;293
12.04.2023;3;21;118;109;227
12.04.2023;3;22;82;76;158
12.04.2023;3;23;66;60;126
13.04.2023;4;0;65;60;125
13.04.2023;4;1;35;32;67
13.04.2023;4;2;20;19;39
13.04.2023;4;3;16;15;31
13.04.2023;4;4;26;24;50
13.04.2023;4;5;60;56;116
13.04.2023;4;6;164;151;315
13.04.2023;4;7;315;290;605
13.04.2023;4;8;307;284;591
13.04.2023;4;9;223;206;429
13.04.2023;4;10;190;175;365
13.04.2023;4;11;208;192;400
13.04.2023;4;12;235;217;452
13.04.2023;4;13;215;198;413
13.04.2023;4;14;228;211;439
13.04.2023;4;15;255;236;491
13.04.2023;4;16;322;298;620
13.04.2023;4;17;386;356;742
13.04.2023;4;18;306;283;589
13.04.2023;4;19;223;205;428
13.04.2023;4;20;151;140;291
13.04.2023;4;21;105;96;201
13.04.2023;4;22;82;75;157
13.04.2023;4;23;66;60;126
14.04.2023;5;0;64;59;123
14.04.2023;5;1;34;32;66
14.04.2023;5;2;20;18;38
14.04.2023;5;3;17;15;32
14.04.2023;5;4;22;21;43
14.04.2023;5;5;63;59;122
14.04.2023;5;6;174;160;334
14.04.2023;5;7;309;285;594
14.04.2023;5;8;319;295;614
14.04.2023;5;9;220;203;423
14.04.2023;5;10;211;195;406
14.04.2023;5;11;229;212;441
14.04.2023;5;12;250;230;480
14.04.2023;5;13;229;211;440
14.04.2023;5;14;231;213;444
14.04.2023;5;15;283;262;545
14.04.2023;5;16;357;330;687
14.04.2023;5;17;401;370;771
14.04.2023;5;18;326;301;627
14.04.2023;5;19;202;186;388
14.04.2023;5;20;152;140;292
14.04.2023;5;21;100;93;193
14.04.2023;5;22;88;82;170
14.04.2023;5;23;74;69;143
15.04.2023;6;0;53;49;102
15.04.2023;6;1;25;24;49
15.04.2023;6;2;17;16;33
15.04.2023;6;3;15;14;29
15.04.2023;6;4;22;20;42
15.04.2023;6;5;54;50;104
15.04.2023;6;6;149;138;287
15.04.2023;6;7;273;252;525
15.04.2023;6;8;264;243;507
15.04.2023;6;9;204;189;393
15.04.2023;6;10;191;177;368
15.04.2023;6;11;199;183;382
15.04.2023;6;12;223;205;428
15.04.2023;6;13;192;178;370
15.04.2023;6;14;189;175;364
15.04.2023;6;15;251;231;482
15.04.2023;6;16;287;265;552
15.04.2023;6;17;355;327;682
15.04.2023;6;18;268;248;516
15.04.2023;6;19;173;159;332
15.04.2023;6;20;124;115;239
15.04.2023;6;21;95;88;183
15.04.2023;6;22;73;67;140
15.04.2023;6;23;52;48;100
16.04.2023;7;0;41;37;78
16.04.2023;7;1;24;22;46
16.04.2023;7;2;14;12;26
16.04.2023;7;3;10;9;19
16.04.2023;7;4;18;16;34
16.04.2023;7;5;42;39;81
16.04.2023;7;6;108;100;208
16.04.2023;7;7;200;185;385
16.04.2023;7;8;200;185;385
16.04.2023;7;9;146;134;280
16.04.2023;7;10;144;132;276
16.04.2023;7;11;153;142;295
16.04.2023;7;12;165;152;317
16.04.2023;7;13;150;139;289
16.04.2023;7;14;148;137;285
16.04.2023;7;15;186;171;357
16.04.2023;7;16;208;192;400
16.04.2023;7;17;240;221;461
16.04.2023;7;18;210;194;404
16.04.2023;7;19;140;129;269
16.04.2023;7;20;97;90;187
16.04.2023;7;21;69;64;133
16.04.2023;7;22;54;49;103
16.04.2023;7;23;45;42;87
17.04.2023;1;0;62;58;120
17.04.2023;1;1;33;30;63
17.04.2023;1;2;21;19;40
17.04.2023;1;3;18;17;35
17.04.2023;1;4;23;21;44
17.04.2023;1;5;64;60;124
17.04.2023;1;6;153;141;294
17.04.2023;1;7;312;288;600
17.04.2023;1;8;286;264;550
17.04.2023;1;9;206;190;396
17.04.2023;1;10;213;197;410
17.04.2023;1;11;226;208;434
17.04.2023;1;12;225;207;432
17.04.2023;1;13;240;221;461
17.04.2023;1;14;246;228;474
17.04.2023;1;15;292;269;561
17.04.2023;1;16;340;314;654
17.04.2023;1;17;402;371;773
17.04.2023;1;18;334;309;643
17.04.2023;1;19;227;209;436
17.04.2023;1;20;154;143;297
17.04.2023;1;21;99;92;191
17.04.2023;1;22;84;78;162
17.04.2023;1;23;68;63;131
18.04.2023;2;0;57;53;110
18.04.2023;2;1;34;32;66
18.04.2023;2;2;23;22;45
18.04.2023;2;3;17;16;33
18.04.2023;2;4;27;25;52
18.04.2023;2;5;63;59;122
18.04.2023;2;6;166;154;320
18.04.2023;2;7;319;295;614
18.04.2023;2;8;281;259;540
18.04.2023;2;9;219;202;421
18.04.2023;2;10;222;205;427
18.04.2023;2;11;245;227;472
18.04.2023;2;12;238;220;458
18.04.2023;2;13;241;222;463
18.04.2023;2;14;229;211;440
18.04.2023;2;15;276;255;531
18.04.2023;2;16;342;316;658
18.04.2023;2;17;421;389;810
18.04.2023;2;18;315;290;605
18.04.2023;2;19;224;206;430
18.04.2023;2;20;149;137;286
18.04.2023;2;21;108;99;207
18.04.2023;2;22;80;74;154
18.04.2023;2;23;74;68;142
19.04.2023;3;0;64;59;123
19.04.2023;3;1;35;32;67
19.04.2023;3;2;19;18;37
19.04.2023;3;3;16;15;31
19.04.2023;3;4;27;24;51
19.04.2023;3;5;63;59;122
19.04.2023;3;6;151;140;291
19.04.2023;3;7;330;304;634
19.04.2023;3;8;284;263;547
19.04.2023;3;9;246;227;473
19.04.2023;3;10;208;192;400
19.04.2023;3;11;232;215;447
19.04.2023;3;12;266;245;511
19.04.2023;3;13;219;203;422
19.04.2023;3;14;218;202;420
19.04.2023;3;15;269;248;517
19.04.2023;3;16;348;322;670
19.04.2023;3;17;374;346;720
19.04.2023;3;18;288;265;553
19.04.2023;3;19;217;201;418
19.04.2023;3;20;142;131;273
19.04.2023;3;21;102;95;197
19.04.2023;3;22;76;70;146
19.04.2023;3;23;64;60;124
20.04.2023;4;0;63;58;121
20.04.2023;4;1;35;32;67
20.04.2023;4;2;20;19;39
20.04.2023;4;3;18;17;35
20.04.2023;4;4;24;23;47
20.04.2023;4;5;60;56;116
20.04.2023;4;6;180;166;346
20.04.2023;4;7;317;292;609
20.04.2023;4;8;284;263;547
20.04.2023;4;9;228;211;439
20.04.2023;4;10;223;206;429
20.04.2023;4;11;246;228;474
20.04.2023;4;12;241;222;463
20.04.2023;4;13;229;212;441
20.04.2023;4;14;231;213;444
20.04.2023;4;15;258;239;497
20.04.2023;4;16;333;308;641
20.04.2023;4;17;401;371;772
20.04.2023;4;18;331;306;637
20.04.2023;4;19;222;204;426
20.04.2023;4;20;144;133;277
20.04.2023;4;21;103;96;199
20.04.2023;4;22;86;80;166
20.04.2023;4;23;65;60;125
21.04.2023;5;0;64;60;124
21.04.2023;5;1;33;31;64
21.04.2023;5;2;20;18;38
21.04.2023;5;3;16;15;31
21.04.2023;5;4;27;25;52
21.04.2023;5;5;62;58;120
21.04.2023;5;6;181;167;348
21.04.2023;5;7;305;282;587
21.04.2023;5;8;297;274;571
21.04.2023;5;9;257;238;495
21.04.2023;5;10;198;183;381
21.04.2023;5;11;208;192;400
21.04.2023;5;12;267;246;513
21.04.2023;5;13;220;204;424
21.04.2023;5;14;230;212;442
21.04.2023;5;15;264;243;507
21.04.2023;5;16;339;313;652
21.04.2023;5;17;382;353;735
21.04.2023;5;18;310;287;597
21.04.2023;5;19;214;197;411
21.04.2023;5;20;139;128;267
21.04.2023;5;21;101;93;194
21.04.2023;5;22;82;76;158
21.04.2023;5;23;62;57;119
22.04.2023;6;0;52;48;100
22.04.2023;6;1;29;26;55
22.04.2023;6;2;17;16;33
22.04.2023;6;3;14;13;27
22.04.2023;6;4;21;20;41
22.04.2023;6;5;51;48;99
22.04.2023;6;6;147;136;283
22.04.2023;6;7;285;264;549
22.04.2023;6;8;243;224;467
22.04.2023;6;9;200;185;385
22.04.2023;6;10;175;162;337
22.04.2023;6;11;199;184;383
22.04.2023;6;12;230;212;442
22.04.2023;6;13;200;185;385
22.04.2023;6;14;178;164;342
22.04.2023;6;15;236;218;454
22.04.2023;6;16;302;278;580
22.04.2023;6;17;337;312;649
22.04.2023;6;18;280;258;538
22.04.2023;6;19;172;158;330
22.04.2023;6;20;115;106;221
22.04.2023;6;21;89;83;172
22.04.2023;6;22;65;60;125
22.04.2023;6;23;56;52;108
23.04.2023;7;0;43;40;83
23.04.2023;7;1;20;18;38
23.04.2023;7;2;12;12;24
23.04.2023;7;3;10;10;20
23.04.2023;7;4;16;15;31
23.04.2023;7;5;40;37;77
23.04.2023;7;6;116;108;224
23.04.2023;7;7;213;197;410
23.04.2023;7;8;195;180;375
23.04.2023;7;9;150;139;289
23.04.2023;7;10;138;128;266
23.04.2023;7;11;143;132;275
23.04.2023;7;12;170;157;327
23.04.2023;7;13;141;130;271
23.04.2023;7;14;155;144;299
23.04.2023;7;15;187;173;360
23.04.2023;7;16;219;203;422
23.04.2023;7;17;258;239;497
23.04.2023;7;18;208;192;400
23.04.2023;7;19;116;108;224
23.04.2023;7;20;97;89;186
23.04.2023;7;21;68;62;130
23.04.2023;7;22;54;50;104
23.04.2023;7;23;45;42;87
24.04.2023;1;0;62;58;120
24.04.2023;1;1;32;29;61
24.04.2023;1;2;21;19;40
24.04.2023;1;3;17;15;32
24.04.2023;1;4;25;23;48
24.04.2023;1;5;63;59;122
24.04.2023;1;6;176;162;338
24.04.2023;1;7;296;274;570
24.04.2023;1;8;295;273;568
24.04.2023;1;9;245;226;471
24.04.2023;1;10;191;176;367
24.04.2023;1;11;232;214;446
24.04.2023;1;12;243;225;468
24.04.2023;1;13;226;208;434
24.04.2023;1;14;219;203;422
24.04.2023;1;15;269;249;518
24.04.2023;1;16;365;337;702
24.04.2023;1;17;376;347;723
24.04.2023;1;18;295;273;568
24.04.2023;1;19;196;180;376
24.04.2023;1;20;159;147;306
24.04.2023;1;21;102;94;196
24.04.2023;1;22;84;77;161
24.04.2023;1;23;66;60;126
25.04.2023;2;0;60;55;115
25.04.2023;2;1;33;31;64
25.04.2023;2;2;23;22;45
25.04.2023;2;3;18;16;34
25.04.2023;2;4;24;22;46
25.04.2023;2;5;64;60;124
25.04.2023;2;6;160;148;308
25.04.2023;2;7;285;264;549
25.04.2023;2;8;307;284;591
25.04.2023;2;9;243;225;468
25.04.2023;2;10;220;203;423
25.04.2023;2;11;225;207;432
25.04.2023;2;12;249;229;478
25.04.2023;2;13;239;220;459
25.04.2023;2;14;235;216;451
25.04.2023;2;15;266;246;512
25.04.2023;2;16;307;284;591
25.04.2023;2;17;404;372;776
25.04.2023;2;18;330;305;635
25.04.2023;2;19;197;181;378
25.04.2023;2;20;151;139;290
25.04.2023;2;21;106;98;204
25.04.2023;2;22;87;80;167
25.04.2023;2;23;70;64;134
26.04.2023;3;0;60;56;116
26.04.2023;3;1;31;28;59
26.04.2023;3;2;20;19;39
26.04.2023;3;3;18;16;34
26.04.2023;3;4;24;23;47
26.04.2023;3;5;60;56;116
26.04.2023;3;6;152;140;292
26.04.2023;3;7;341;315;656
26.04.2023;3;8;305;281;586
26.04.2023;3;9;239;220;459
26.04.2023;3;10;219;202;421
26.04.2023;3;11;237;218;455
26.04.2023;3;12;248;228;476
26.04.2023;3;13;228;210;438
26.04.2023;3;14;225;208;433
26.04.2023;3;15;307;284;591
26.04.2023;3;16;344;317;661
26.04.2023;3;17;392;362;754
26.04.2023;3;18;321;296;617
26.04.2023;3;19;199;183;382
26.04.2023;3;20;157;145;302
26.04.2023;3;21;101;93;194
26.04.2023;3;22;86;79;165
26.04.2023;3;23;70;65;135
27.04.2023;4;0;64;59;123
27.04.2023;4;1;34;31;65
27.04.2023;4;2;21;19;40
27.04.2023;4;3;17;15;32
27.04.2023;4;4;24;23;47
27.04.2023;4;5;61;57;118
27.04.2023;4;6;179;166;345
27.04.2023;4;7;312;288;600
27.04.2023;4;8;281;259;540
27.04.2023;4;9;224;207;431
27.04.2023;4;10;220;204;424
27.04.2023;4;11;238;219;457
27.04.2023;4;12;258;238;496
27.04.2023;4;13;227;209;436
27.04.2023;4;14;237;218;455
27.04.2023;4;15;263;243;506
27.04.2023;4;16;330;305;635
27.04.2023;4;17;421;388;809
27.04.2023;4;18;327;302;629
27.04.2023;4;19;199;183;382
27.04.2023;4;20;140;129;269
27.04.2023;4;21;105;97;202
27.04.2023;4;22;91;84;175
27.04.2023;4;23;60;56;116
28.04.2023;5;0;63;59;122
28.04.2023;5;1;31;29;60
28.04.2023;5;2;20;19;39
28.04.2023;5;3;17;15;32
28.04.2023;5;4;24;23;47
28.04.2023;5;5;61;56;117
28.04.2023;5;6;167;155;322
28.04.2023;5;7;305;282;587
28.04.2023;5;8;271;250;521
28.04.2023;5;9;239;220;459
28.04.2023;5;10;217;200;417
28.04.2023;5;11;240;221;461
28.04.2023;5;12;231;214;445
28.04.2023;5;13;233;216;449
28.04.2023;5;14;238;219;457
28.04.2023;5;15;257;238;495
28.04.2023;5;16;334;309;643
28.04.2023;5;17;399;368;767
28.04.2023;5;18;342;316;658
28.04.2023;5;19;229;212;441
28.04.2023;5;20;134;124;258
28.04.2023;5;21;118;108;226
28.04.2023;5;22;80;73;153
28.04.2023;5;23;70;65;135
29.04.2023;6;0;56;51;107
29.04.2023;6;1;27;25;52
29.04.2023;6;2;18;17;35
29.04.2023;6;3;14;13;27
29.04.2023;6;4;22;20;42
29.04.2023;6;5;54;50;104
29.04.2023;6;6;151;139;290
29.04.2023;6;7;267;247;514
29.04.2023;6;8;246;228;474
29.04.2023;6;9;206;190;396
29.04.2023;6;10;183;168;351
29.04.2023;6;11;202;187;389
29.04.2023;6;12;206;190;396
29.04.2023;6;13;185;171;356
29.04.2023;6;14;190;175;365
29.04.2023;6;15;224;206;430
29.04.2023;6;16;295;273;568
29.04.2023;6;17;358;330;688
29.04.2023;6;18;264;244;508
29.04.2023;6;19;190;176;366
29.04.2023;6;20;133;122;255
29.04.2023;6;21;90;83;173
29.04.2023;6;22;68;63;131
